,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,34.36,0.06,0.06,0.06,0.07,0.08,0.28,0.39,0.2,0.79,0.32,0.29,0.6,0.32,,0.61
f_1,0.14,36.56,0.08,0.07,0.05,0.08,0.25,0.43,0.15,0.33,0.34,,0.54,0.38,0.32,0.45
d_1,0.05,0.06,39.01,0.09,0.06,0.07,0.32,0.67,0.26,,0.32,0.35,0.58,0.38,0.39,0.45
c_1,0.08,0.06,0.07,46.85,0.14,0.07,0.28,,0.37,0.24,0.31,0.48,0.52,0.26,0.31,0.64
b_1,0.05,0.06,0.08,0.07,55.59,0.12,0.38,0.25,0.23,0.38,,0.48,0.71,0.26,0.36,0.49
a_1,0.08,0.06,0.07,0.07,0.07,69.42,0.29,0.39,0.31,0.23,0.34,0.41,0.5,,0.47,0.5
h_1,0.2,0.42,0.25,0.24,0.23,0.23,27.71,1.45,1.68,1.68,1.39,1.52,,1.27,1.25,1.97
c_0,0.35,0.26,0.23,,0.33,0.33,1.86,17.04,1.42,1.18,3.82,2.22,3.17,2.19,2.05,3.37
g_1,0.19,0.22,0.31,0.26,0.35,0.32,1.09,1.42,35.36,1.31,1.77,1.87,1.76,1.19,1.31,
d_0,0.29,0.4,,0.65,0.35,0.32,1.12,2.03,1.43,17.8,2.69,1.64,3.46,1.39,1.44,3.68
b_0,0.27,0.32,0.33,0.27,,0.31,1.54,2.16,1.84,2.02,19.02,1.89,2.41,4.18,1.74,3.22
f_0,0.27,,0.32,0.39,0.39,0.44,1.36,1.84,1.81,2.67,1.52,21.29,3.07,1.42,3.57,2.89
h_0,0.69,0.91,0.55,0.51,0.56,0.33,,1.76,2.69,3.04,3.04,3.43,,1.8,2.43,6.07
a_0,0.35,0.3,0.43,0.26,0.31,,1.56,1.88,,2.42,1.59,1.42,4.02,29.19,2.03,2.31
e_0,,0.35,0.27,0.31,0.32,,2.22,2.08,1.61,1.55,1.65,1.8,3.67,1.88,32.94,3.27
g_0,0.37,0.5,0.94,0.53,0.41,0.42,1.59,2.84,,3.21,2.81,3.6,5.45,3.8,3.1,
