,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.46,0.39,0.44,0.29,0.22,0.36,0.34,0.26,0.59,0.33,0.3,0.38,0.23,0.18,0.33
f_1,0.7,0.92,0.34,0.36,0.28,0.24,0.33,0.3,0.25,0.37,0.32,0.2,0.36,0.23,0.15,0.27
d_1,0.43,0.43,0.93,0.26,0.29,0.26,0.39,0.64,0.3,0.29,0.4,0.33,0.4,0.28,0.27,0.34
c_1,0.43,0.4,0.4,0.91,0.54,0.27,0.32,0.25,0.29,0.33,0.28,0.32,0.35,0.2,0.22,0.3
b_1,0.39,0.43,0.41,0.38,0.9,0.48,0.34,0.33,0.29,0.33,0.24,0.3,0.38,0.18,0.21,0.3
a_1,0.45,0.44,0.41,0.34,0.3,0.89,0.42,0.36,0.34,0.32,0.35,0.37,0.41,0.21,0.28,0.31
h_1,0.43,0.59,0.46,0.34,0.33,0.23,0.66,0.38,0.36,0.37,0.36,0.35,0.3,0.28,0.27,0.43
c_0,0.45,0.51,0.47,0.31,0.29,0.26,0.43,0.59,0.36,0.42,0.65,0.37,0.45,0.36,0.27,0.37
g_1,0.41,0.42,0.64,0.31,0.36,0.29,0.35,0.44,0.63,0.34,0.36,0.42,0.37,0.29,0.26,0.25
d_0,0.46,0.46,0.32,0.62,0.39,0.25,0.36,0.29,0.32,0.51,0.36,0.34,0.4,0.26,0.24,0.34
b_0,0.52,0.5,0.48,0.39,0.28,0.17,0.4,0.4,0.31,0.38,0.55,0.35,0.39,0.53,0.27,0.35
f_0,0.38,0.37,0.46,0.42,0.37,0.3,0.42,0.42,0.33,0.45,0.38,0.54,0.41,0.31,0.5,0.35
h_0,0.5,0.56,0.44,0.36,0.34,0.26,0.27,0.37,0.37,0.39,0.39,0.3,0.32,0.27,0.24,0.39
a_0,0.46,0.51,0.49,0.42,0.36,0.14,0.41,0.44,0.33,0.41,0.34,0.35,0.45,0.51,0.25,0.32
e_0,0.4,0.59,0.39,0.37,0.34,0.29,0.42,0.44,0.32,0.39,0.4,0.36,0.43,0.3,0.49,0.37
g_0,0.41,0.43,0.6,0.4,0.33,0.25,0.37,0.41,0.27,0.36,0.41,0.5,0.38,0.27,0.27,0.26
