,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.89,1.92,1.56,1.81,1.55,0.58,0.34,0.66,0.39,0.4,0.43,0.22,0.34,1.48,0.3
f_1,1.57,0.17,1.65,1.69,1.61,2.02,0.32,0.39,0.53,0.29,0.33,1.71,0.16,0.32,0.31,0.23
d_1,1.68,1.58,0.16,1.77,1.61,1.74,0.5,0.39,0.34,1.38,0.31,0.33,0.24,0.31,0.39,0.16
c_1,1.64,1.88,1.59,0.14,1.62,1.59,0.48,1.7,0.54,0.18,0.4,0.32,0.23,0.36,0.36,0.24
b_1,1.71,2.03,1.89,0.9,0.12,2.0,0.56,0.38,0.34,0.38,0.81,0.32,0.22,0.33,0.39,0.28
a_1,1.84,1.61,1.47,2.13,0.89,0.1,0.57,0.39,0.41,0.4,0.5,0.31,0.39,,0.33,0.37
h_1,0.89,1.07,0.92,1.07,0.88,0.82,0.07,0.15,0.28,0.23,0.2,0.19,0.32,0.2,0.15,0.18
c_0,0.95,1.14,0.46,3.54,1.08,1.04,0.27,0.07,0.3,0.19,0.17,0.18,0.18,0.2,0.18,0.14
g_1,1.12,1.42,0.81,0.88,1.23,0.8,0.17,0.17,0.05,0.18,0.16,0.16,0.11,0.23,0.16,0.31
d_0,0.44,1.09,2.5,1.03,1.04,1.29,0.27,0.22,0.31,0.07,0.21,0.15,0.16,0.17,0.2,0.13
b_0,0.89,0.86,0.94,1.1,5.29,0.71,0.25,0.09,0.25,0.18,0.07,0.17,0.12,0.2,0.16,0.11
f_0,0.97,4.41,0.93,0.87,0.82,0.69,0.23,0.17,0.18,0.18,0.15,0.06,0.14,0.25,0.17,0.1
h_0,0.79,0.97,0.9,0.95,0.88,0.9,0.55,0.16,0.33,0.18,0.23,0.18,0.5,0.17,0.14,0.13
a_0,0.92,1.0,1.03,1.19,1.1,,0.3,0.14,0.3,0.21,0.08,0.17,0.17,0.05,0.15,0.13
e_0,2.22,1.28,0.82,1.01,1.02,0.7,0.2,0.16,0.28,0.19,0.15,0.09,0.15,0.15,0.04,0.11
g_0,0.82,1.03,1.1,0.83,0.97,0.88,0.21,0.16,0.92,0.15,0.17,0.18,0.11,0.19,0.17,0.26
