,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.96,0.85,0.65,0.95,0.72,0.65,0.85,1.58,0.84,0.94,1.05,0.98,1.11,1.07,0.68,0.88
f_1,1.27,2.03,0.7,0.73,0.6,0.62,1.0,0.99,0.91,0.83,0.95,0.58,0.84,0.91,0.65,0.97
d_1,0.73,0.79,2.36,0.5,0.71,0.7,1.04,0.52,1.76,1.0,1.14,1.08,1.04,1.09,1.02,1.04
c_1,0.63,0.68,0.71,2.45,1.42,0.74,0.83,0.93,0.43,0.77,0.75,0.9,0.95,0.78,0.93,0.94
b_1,0.65,0.71,0.74,0.78,2.64,1.49,0.88,0.86,0.9,1.07,0.64,1.04,0.92,0.71,1.11,0.84
a_1,0.78,0.94,0.75,0.8,0.7,3.34,1.02,1.01,0.86,0.69,0.93,0.85,0.97,0.6,1.13,1.09
h_1,0.73,1.13,0.99,0.76,0.71,0.64,2.04,0.89,1.13,1.41,1.04,1.12,0.85,1.22,0.99,1.4
d_0,0.83,0.91,0.57,1.5,0.82,0.75,0.89,1.52,0.72,0.96,0.91,0.99,1.12,0.97,0.99,0.99
c_0,0.87,1.02,0.97,0.54,0.71,0.8,1.19,0.89,1.7,1.1,1.91,1.1,1.11,1.35,1.13,1.19
g_1,0.66,0.72,1.51,0.78,0.62,0.84,1.05,0.82,1.05,2.61,0.94,1.64,1.05,0.88,1.46,0.85
b_0,0.91,0.85,0.98,0.89,0.53,0.65,1.13,1.0,1.15,1.12,1.79,1.15,1.2,2.17,1.15,1.17
f_0,0.63,0.65,1.06,0.99,0.74,0.84,1.09,1.04,1.18,1.22,1.21,2.08,1.29,1.28,2.47,1.22
h_0,0.83,1.07,0.87,0.88,0.84,0.7,0.92,0.98,1.03,1.58,1.08,1.15,0.83,1.04,1.12,1.45
a_0,0.94,0.92,0.97,0.79,0.7,0.4,1.22,0.85,1.03,1.19,1.06,1.26,1.25,2.44,1.02,1.22
e_0,0.57,0.91,0.97,0.79,0.91,0.8,1.27,0.99,1.16,1.18,1.35,1.29,1.1,1.26,2.67,1.14
g_0,0.74,0.68,1.33,0.81,0.81,0.66,1.02,0.76,1.09,0.83,1.13,1.71,1.12,1.44,1.31,0.87
