,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.47,0.33,0.44,0.31,0.24,0.35,0.63,0.34,0.28,0.37,0.31,0.39,0.23,0.15,0.28
f_1,0.7,0.91,0.34,0.36,0.26,0.22,0.38,0.42,0.35,0.26,0.35,0.22,0.32,0.22,0.15,0.29
d_1,0.43,0.46,0.92,0.24,0.31,0.25,0.39,0.25,0.64,0.3,0.43,0.34,0.36,0.24,0.23,0.31
c_1,0.37,0.4,0.36,0.92,0.58,0.26,0.33,0.38,0.22,0.27,0.26,0.29,0.34,0.18,0.2,0.28
b_1,0.4,0.41,0.37,0.35,0.9,0.48,0.33,0.36,0.34,0.31,0.24,0.36,0.32,0.17,0.25,0.26
a_1,0.46,0.5,0.35,0.36,0.31,0.89,0.4,0.42,0.35,0.23,0.33,0.27,0.35,0.18,0.24,0.34
h_1,0.45,0.57,0.47,0.36,0.3,0.21,0.65,0.35,0.43,0.38,0.37,0.35,0.31,0.27,0.22,0.4
d_0,0.46,0.46,0.28,0.63,0.38,0.26,0.34,0.54,0.27,0.28,0.33,0.32,0.39,0.22,0.21,0.31
c_0,0.49,0.53,0.46,0.27,0.29,0.27,0.46,0.35,0.59,0.33,0.62,0.35,0.36,0.32,0.25,0.36
g_1,0.39,0.4,0.64,0.36,0.3,0.28,0.41,0.33,0.43,0.66,0.36,0.5,0.38,0.22,0.33,0.25
b_0,0.49,0.48,0.47,0.4,0.25,0.21,0.43,0.4,0.44,0.32,0.55,0.34,0.41,0.45,0.24,0.34
f_0,0.35,0.43,0.48,0.44,0.34,0.26,0.42,0.41,0.41,0.34,0.42,0.58,0.42,0.28,0.47,0.32
h_0,0.46,0.55,0.44,0.4,0.35,0.25,0.35,0.37,0.39,0.42,0.36,0.36,0.29,0.23,0.25,0.4
a_0,0.49,0.49,0.43,0.42,0.32,0.16,0.41,0.37,0.38,0.32,0.35,0.38,0.43,0.48,0.22,0.33
e_0,0.38,0.5,0.44,0.37,0.35,0.27,0.44,0.38,0.42,0.34,0.46,0.41,0.39,0.29,0.47,0.31
g_0,0.43,0.39,0.6,0.37,0.35,0.23,0.41,0.32,0.41,0.24,0.39,0.5,0.36,0.28,0.29,0.29
