,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,91.33,9.25,13.88,21.35,37.11,57.69,1866.65,5754.16,4475.78,3625.94,5320.88,7594.38,30876.66,30566.9,,46147.47
f_1,16.17,106.62,13.68,21.06,20.49,53.23,1921.55,3607.31,4431.47,2950.16,6238.3,,21591.67,27781.8,26592.96,50442.44
d_1,10.96,12.95,135.46,13.38,34.27,64.74,1886.66,,5078.82,3067.94,4562.88,6760.29,19905.33,24346.9,19371.84,27619.1
c_1,9.98,8.43,17.66,162.91,43.0,54.37,1294.82,2578.26,,3095.35,4342.93,5924.57,23319.75,20345.41,21473.32,28321.46
b_1,6.06,12.01,9.95,13.13,229.66,91.72,1428.92,3390.11,2899.43,3562.62,,4419.12,13220.32,,21312.46,22037.99
a_1,6.73,8.7,8.75,11.46,11.21,445.65,1524.21,2337.59,1380.79,1696.55,2946.58,,12783.89,,24786.88,
h_1,4.47,7.91,6.97,9.46,14.48,23.07,3013.17,1498.82,1577.84,2263.38,2525.76,2867.51,,9363.41,12987.66,21972.69
d_0,4.04,6.14,,15.46,13.67,27.15,686.53,3928.86,1848.7,1512.1,2055.71,3577.51,9963.65,11379.66,9614.85,13626.8
c_0,4.15,5.78,6.84,,11.67,39.12,820.31,1156.21,4322.1,1761.49,3363.16,2399.33,10891.12,7811.05,10449.28,15976.3
g_1,3.4,4.12,9.64,6.72,8.1,22.82,559.12,1388.1,1262.68,5553.83,1785.14,2970.5,8007.12,8371.39,10938.59,
b_0,4.39,4.03,6.55,7.08,,30.0,791.14,1657.58,1359.72,1394.26,5492.19,2513.39,9171.87,,9477.25,10274.36
f_0,3.29,,4.74,8.7,9.73,,601.96,1094.55,1723.36,1271.78,2272.15,6554.98,7345.86,7581.07,20037.81,12981.84
h_0,2.64,4.39,5.28,5.18,9.9,20.74,,1311.34,1259.3,1369.7,1519.88,2187.67,,7760.67,8702.4,15386.87
a_0,1.86,2.8,2.84,5.64,,,587.48,818.0,1035.89,1026.54,,1849.65,6285.48,19536.27,,10184.28
e_0,,2.65,4.33,3.68,8.48,12.68,324.1,765.14,1089.37,998.87,1384.82,1030.05,6562.94,,21666.26,7334.82
g_0,2.01,2.17,6.39,5.26,10.8,,449.55,880.91,1038.51,,1753.4,2724.59,5060.37,6287.54,7253.64,
