,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.17,0.84,0.73,0.54,0.63,0.73,1.08,1.01,1.79,0.56,1.12,1.06,1.03,0.97,1.2,1.14
f_1,0.73,2.09,1.28,0.76,0.65,0.69,0.8,0.87,0.73,0.87,0.84,0.53,0.91,1.02,0.6,0.81
e_1,0.69,0.76,2.18,1.0,0.74,0.66,0.92,0.81,0.97,1.68,1.0,1.01,0.98,0.84,0.66,1.02
c_1,0.69,0.73,0.64,2.28,1.42,0.64,0.97,0.84,0.54,0.9,0.85,0.94,0.89,1.01,0.94,0.89
b_1,0.76,0.79,0.72,0.74,2.43,1.39,0.82,0.9,0.74,0.98,0.59,0.99,0.81,1.08,0.92,0.97
a_1,0.91,0.8,0.64,0.8,0.72,3.59,0.86,1.15,0.94,0.9,1.02,1.0,0.56,1.17,0.93,0.8
h_1,0.93,1.05,0.74,0.81,0.77,0.7,2.12,1.27,0.94,0.86,1.16,1.07,1.14,0.72,1.28,1.42
g_1,1.28,0.7,0.84,0.79,0.74,0.66,1.03,2.44,1.07,0.81,1.17,1.54,0.98,0.89,1.27,0.66
c_0,0.96,0.96,0.8,0.64,0.65,0.8,1.22,1.09,1.67,1.11,1.97,1.14,1.45,1.03,1.28,1.11
d_0,0.55,0.73,0.74,1.69,0.82,0.71,0.99,0.94,0.76,1.77,1.06,1.1,1.03,1.11,1.07,1.16
b_0,0.84,0.94,0.77,0.92,0.56,0.66,1.16,1.07,1.07,1.15,2.0,1.28,2.05,1.19,1.33,1.35
f_0,1.01,0.63,0.69,0.88,0.8,0.73,1.26,1.07,1.15,1.03,1.22,1.87,1.26,1.06,2.15,1.32
a_0,0.88,0.92,0.77,0.98,0.76,0.45,1.16,1.16,1.0,1.08,1.01,1.32,2.32,1.29,1.44,1.24
h_0,0.91,1.15,0.85,0.72,0.71,0.72,0.8,1.41,1.09,1.05,1.02,0.92,1.13,0.74,1.07,1.16
e_0,0.89,0.9,0.61,0.85,0.68,0.81,1.34,1.27,1.15,0.96,1.3,1.19,1.51,1.25,2.42,1.17
g_0,1.2,0.78,0.74,0.84,0.68,0.8,1.16,0.75,1.2,0.87,1.03,1.63,1.12,0.97,1.38,1.04
