Unnamed: 0,time_set,events,events_cluster
0,2021-05-19 00:00:00,e,e_0
1,2021-05-19 01:00:00,e,e_0
2,2021-05-19 02:00:00,a,a_1
3,2021-05-19 03:00:00,a,a_1
4,2021-05-19 04:00:00,a,a_1
5,2021-05-19 05:00:00,a,a_1
6,2021-05-19 06:00:00,a,a_1
7,2021-05-19 07:00:00,a,a_1
8,2021-05-19 08:00:00,a,a_1
9,2021-05-19 09:00:00,a,a_1
10,2021-05-19 10:00:00,a,a_1
11,2021-05-19 11:00:00,a,a_1
12,2021-05-19 12:00:00,a,a_1
13,2021-05-19 13:00:00,a,a_1
14,2021-05-19 14:00:00,a,a_1
15,2021-05-19 15:00:00,a,a_1
16,2021-05-19 16:00:00,a,a_1
17,2021-05-19 17:00:00,a,a_1
18,2021-05-19 18:00:00,a,a_1
19,2021-05-19 19:00:00,a,a_1
20,2021-05-19 20:00:00,a,a_1
21,2021-05-19 21:00:00,a,a_1
22,2021-05-19 22:00:00,a,a_1
23,2021-05-19 23:00:00,a,a_1
24,2021-05-20 00:00:00,a,a_1
25,2021-05-20 01:00:00,a,a_1
26,2021-05-20 02:00:00,a,a_1
27,2021-05-20 03:00:00,a,a_1
28,2021-05-20 04:00:00,a,a_1
29,2021-05-20 05:00:00,a,a_1
30,2021-05-20 06:00:00,a,a_1
31,2021-05-20 07:00:00,a,a_1
32,2021-05-20 08:00:00,d,d_0
33,2021-05-20 09:00:00,d,d_0
34,2021-05-20 10:00:00,d,d_0
35,2021-05-20 11:00:00,d,d_0
36,2021-05-20 12:00:00,d,d_0
37,2021-05-20 13:00:00,d,d_0
38,2021-05-20 14:00:00,d,d_0
39,2021-05-20 15:00:00,d,d_0
40,2021-05-20 16:00:00,d,d_0
41,2021-05-20 17:00:00,d,d_0
42,2021-05-20 18:00:00,d,d_0
43,2021-05-20 19:00:00,d,d_0
44,2021-05-20 20:00:00,e,e_0
45,2021-05-20 21:00:00,e,e_0
46,2021-05-20 22:00:00,e,e_0
47,2021-05-20 23:00:00,e,e_0
48,2021-05-21 00:00:00,e,e_0
49,2021-05-21 01:00:00,c,c_1
50,2021-05-21 02:00:00,c,c_1
51,2021-05-21 03:00:00,c,c_1
52,2021-05-21 04:00:00,c,c_1
53,2021-05-21 05:00:00,c,c_1
54,2021-05-21 06:00:00,c,c_1
55,2021-05-21 07:00:00,c,c_1
56,2021-05-21 08:00:00,c,c_1
57,2021-05-21 09:00:00,c,c_1
58,2021-05-21 10:00:00,c,c_1
59,2021-05-21 11:00:00,c,c_1
60,2021-05-21 12:00:00,c,c_1
61,2021-05-21 13:00:00,c,c_1
62,2021-05-21 14:00:00,c,c_1
63,2021-05-21 15:00:00,c,c_1
64,2021-05-21 16:00:00,b,b_1
65,2021-05-21 17:00:00,b,b_1
66,2021-05-21 18:00:00,b,b_1
67,2021-05-21 19:00:00,b,b_1
68,2021-05-21 20:00:00,b,b_1
69,2021-05-21 21:00:00,b,b_1
70,2021-05-21 22:00:00,b,b_1
71,2021-05-21 23:00:00,b,b_1
72,2021-05-22 00:00:00,b,b_1
73,2021-05-22 01:00:00,b,b_1
74,2021-05-22 02:00:00,b,b_1
75,2021-05-22 03:00:00,b,b_1
76,2021-05-22 04:00:00,a,a_0
77,2021-05-22 05:00:00,a,a_0
78,2021-05-22 06:00:00,a,a_0
79,2021-05-22 07:00:00,a,a_0
80,2021-05-22 08:00:00,a,a_0
